Name,Value.NAME,Value.SOURCE,Value.DESCRIPTION,Value.WHENTOUSE,Value.CATEGORY,Value.TYPE,Value.MANDATORY,Value.TANDP
data,"<a href=""https//blog.canada.ca/2020/12/17/choosing-buttons.html"">Choosing the right button for task success</a>",Blog post,How using the right button style in the right situation can help people succeed better on your web page.,How using the right button style in the right situation can help people succeed better on your web page.,,,,0
data,"<a href=""https//blog.canada.ca/2020/10/28/transparency-template.html"">Increasing transparency on Canada.ca</a>",Blog post,We launched a new transparency template in the GC Design System.,We launched a new transparency template in the GC Design System.,,,,0
data,"<a href=""https//blog.canada.ca/2020/10/21/using-graphics.html"">Using graphics to bridge language gaps</a>",Blog post,The Northwest Territories (NWT) shared how they use illustrations to make COVID-19 web content and communications products more accessible to all their communities.,The Northwest Territories (NWT) shared how they use illustrations to make COVID-19 web content and communications products more accessible to all their communities.,,,,0
data,"<a href=""https//blog.canada.ca/2020/10/09/collect-feedback.html"">Collect feedback, find issues</a>",Blog post,"In May 2020, a few teams collaborated to launch a pilot study of a widget for getting people�s feedback on Canada.ca pages.","In May 2020, a few teams collaborated to launch a pilot study of a widget for getting people�s feedback on Canada.ca pages.",,,,0
data,"<a href=""https//blog.canada.ca/2020/10/02/labelling-study.html"">Labelling study: which words work best</a>",Blog post,The public depends on us to choose the right words for the category and link labels to ensure that they can find answers quickly and easily on Canada.ca.,The public depends on us to choose the right words for the category and link labels to ensure that they can find answers quickly and easily on Canada.ca.,,,,0
data,"<a href=""https//blog.canada.ca/2020/09/18/expand-collapse.html"">Using expand/collapse for making choices</a>",Blog post,Using the expand/collapse design pattern to present a choice between mutually exclusive answers,Using the expand/collapse design pattern to present a choice between mutually exclusive answers,,,,0
data,"<a href=""https//blog.canada.ca/2017/12/11/top-100-for-gc.html"">How we identify top tasks for Canada.ca</a>",Blog post,How we identiy top tasks to help prioritize work,How we identiy top tasks to help prioritize work,,,,0
data,"<a href=""https//blog.canada.ca/2017/12/12/optimization-overview.html"">How we're optimizing Canada.ca top tasks</a>",Blog post,Optimization projects are a way to make meaningful improvements for Canadians.,Optimization projects are a way to make meaningful improvements for Canadians.,,,,0
data,"<a href=""https//blog.canada.ca/2018/05/30/trust-and-older-content.html"">Dates matter: Trust and older content on Canada.ca</a>",Blog post,"In a recent usability study, we saw people disregarding Canada.ca search results that seemed too old. Find out how you can validate your content and show that it's still current.","In a recent usability study, we saw people disregarding Canada.ca search results that seemed too old. Find out how you can validate your content and show that it's still current.",,,,0
data,"<a href=""https//blog.canada.ca/2020/01/28/voice-search-optimization.html"">Optimize your content for voice search</a>",Blog post,What we learned about improving voice services for Canadians,What we learned about improving voice services for Canadians,,,,0
data,"<a href=""https//blog.canada.ca/2020/02/05/method-to-measure.html"">Finding the right method to measure online task success</a>",Blog post,"What we learned about exit surveys, usability testing and analytics funnels","What we learned about exit surveys, usability testing and analytics funnels",,,,0
data,"<a href=""https//blog.canada.ca/2020/05/25/avoiding-faqs.html"">Avoiding FAQs, with one exception</a>",Blog post,"Why FAQs are an ineffective content design choice most of the time, and when they can actually work","Why FAQs are an ineffective content design choice most of the time, and when they can actually work",,,,0
data,"<a href=""https//blog.canada.ca/2020/05/26/descriptive-link-text.html"">A case for descriptive link text</a>",Blog post,Clear link text can help thousands more people get to the Canada.ca content they need quickly and easily.,Clear link text can help thousands more people get to the Canada.ca content they need quickly and easily.,,,,0
data,"<a href=""https//blog.canada.ca/2020/06/05/designing-for-accessibility.html"">Designing for accessibility during COVID-19</a>",Blog post,Designing digital government services with accessibility in mind is key to ensuring that everyone can get the services they need quickly and easily.,Designing digital government services with accessibility in mind is key to ensuring that everyone can get the services they need quickly and easily.,,,,0
data,"<a href=""https//www.canada.ca//en/government/about/design-system/institutions-list.html"">Institutions subject to the Canada.ca design system</a>",Designing content,List of Government of Canada institutions subject to the Canada.ca design system,List of Government of Canada institutions subject to the Canada.ca design system,,,,0
data,"<a href=""https//www.canada.ca//en/government/about/design-system/theme-lead-departments.html"">Theme and audience lead departments</a>",Designing content,Departments responsible for the 15 themes and 3 audience pages on Canada.ca,Departments responsible for the 15 themes and 3 audience pages on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/government/about/design-system/topic-tree-content-types.html"">Topic tree and content types</a>",Designing content,Canada.ca taxonomies: theme and topic structure and content types,Canada.ca taxonomies: theme and topic structure and content types,,,,0
data,"<a href=""https//design.canada.ca/crisis/alerts.html"">Canada.ca alerts and service disruptions</a>",Designing content,These recommendations will help bring consistency to each department's communications on service disruptions during a crisis.,These recommendations will help bring consistency to each department's communications on service disruptions during a crisis.,,,,0
data,"<a href=""https//design.canada.ca/guidance/structured-data.html"">Adding structured data on Canada.ca pages</a>",Designing content,How to add structured data to enhance search results,How to add structured data to enhance search results,,,,0
data,"<a href=""https//blog.canada.ca/2022/07/28/news-releases"">Using alerts to keep news releases and web content in syn</a>",Blog post,Use a temporary alert to synchronize communications when you can�t update web content at the same time a news release is published.,Use a temporary alert to synchronize communications when you can�t update web content at the same time a news release is published.,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-information-architecture-specification/usage-canadaca-design.html"">Who has to use this design system</a>",Content and Information Architecture Specification,Which institutions must use the Canada.ca design system for their public-facing web presence,Which institutions must use the Canada.ca design system for their public-facing web presence,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-information-architecture-specification/mandatory-elements.html"">Mandatory elements</a>",Content and Information Architecture Specification,"What every institution must follow: colours, typography, header and footer, and mandatory templates","What every institution must follow: colours, typography, header and footer, and mandatory templates",,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-information-architecture-specification/organizing-content.html#toc1"">User navigation</a>",Content and Information Architecture Specification,How people find tasks on Canada.ca,How people find tasks on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-information-architecture-specification/organizing-content.html#user"">User-need categories for destination content</a>",Content and Information Architecture Specification,How people find tasks on Canada.ca,How people find tasks on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-information-architecture-specification/organizing-content.html#toc3"">URL model</a>",Content and Information Architecture Specification,Canada.ca URL model,Canada.ca URL model,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-information-architecture-specification/templates.html#principles"">Design principles</a>",Content and Information Architecture Specification,Design principles of Canada.ca,Design principles of Canada.ca,,,,0
data,"<a href=""https//design.canada.ca/crisis/content.html"">Crisis communications content design checklist</a>",Designing content,Tips on how design content during a crisis,Tips on how design content during a crisis,,,,0
data,"<a href=""https//design.canada.ca/common-design-patterns/contextual-alerts.html"">Contextual alerts</a>",Template and pattern library,Alerts are notices for important new information that needs to appear on a page.,Use to present important new information that needs to appear in a pre-existing context,Design pattern,Visual,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/checkboxes-radio-buttons.html"">Checkboxes and radio buttons</a>",Template and pattern library,Checkboxes and radio buttons are form controls. They help people select an answer to a question or confirm completion.,Allow people select an answer to a question or confirm completion.,Design pattern,"Interaction, Visual",No,1
data,"<a href=""https//design.canada.ca/mandatory-templates/theme-topic.html"">Theme and topic page</a>",Template and pattern library,Theme and topic pages provide access to topics and destination pages that support task completion.,Allows people to discover services and information related to a specific theme or topic across government - <strong>Mandatory template</strong>,Template,"Theme template, Navigation",Mandatory,1
data,"<a href=""https//design.canada.ca/mandatory-templates/institutional-profile-pages.html"">Institutional landing page</a>",Template and pattern library,Use as the landing page for Government of Canada institutions and organizations,Home page of each Government of Canada institution - <strong>Mandatory template</strong>,Template,"Institutional, Navigation",Mandatory,1
data,"<a href=""https//design.canada.ca/recommended-templates/laws-regulations-pages.html#act-profile"">Act profile page</a>",Template and pattern library,"Gives a 1 or 2 sentence description of the act, allows people to read the legislation, and relates an act to topics, institutions, ministers and other legislation",,,,,0
data,"<a href=""https//design.canada.ca/recommended-templates/generic-destination.html"">Basic page layout</a>",Template and pattern library,The basic layout for Canada.ca pages,The basic layout for Canada.ca pages.,Template,Destination,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/breadcrumb-trail.html"">Breadcrumb trail</a>",Template and pattern library,Represents the location of the current page as it stands in relation to the site�s user navigation model.,Represents the location of the current page as it stands in relation to the site�s user navigation model - <strong>Mandatory pattern</strong>,Design pattern,"Site, Interaction, Navigation",Mandatory,1
data,"<a href=""https//design.canada.ca/common-design-patterns/buttons.html"">Buttons</a>",Template and pattern library,Buttons are clickable objects intended to encourage a person to take action.,Buttons are clickable objects intended to encourage a person to take action,Design pattern,"Interaction, Visual",No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/contextual-signin.html"">Sign in button</a>",Template and pattern library,The Sign in button is an optional header element that directs people to government accounts that require authentication.,The Sign in button is an optional header element that directs people to government accounts that require authentication.,Design pattern,"Interaction, Visual",No,1
data,"<a href=""https//design.canada.ca/recommended-templates/campaign-pages.html"">Campaign page</a>",Template and pattern library,"Gives information to support a promotional campaign - use to support institutional, theme or GC-wide promotional campaigns that last for a set period of time.","Gives information to support a promotional campaign. Use to support institutional, theme or <abbr title=""Government of Canada"">GC</abbr>-wide promotional campaigns that last for a set period of time. Don�t use for core content.",Template,Promotion,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/canada-dot-ca.html"">Canada.ca domain</a>",Template and pattern library,The primary domain for the Government of Canada's public-facing web presence.,The primary domain for the Government of Canada's public-facing web presence.,Design pattern,Site-wide pattern,Mandatory,1
data,"<a href=""https//design.canada.ca/common-design-patterns/carousels.html"">Carousels</a>",Template and pattern library,Use this component for situations such as image or video galleries.,Use this component for situations such as image or video galleries.,Design pattern,"Promotion, Visual",No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/charts-graphs.html"">Charts and graphs</a>",Template and pattern library,Use as visualization techniques for communicating data or statistics.,Use as visualization techniques for communicating data or statistics,Design pattern,Visual,No,1
data,"<a href=""https//design.canada.ca/styles/colours.html"">Colours</a>",Template and pattern library,Colours for Canada.ca,Colours for Canada.ca - <strong>Mandatory style</strong>,Style,"Site-wide pattern, Visual",Mandatory,1
data,"<a href=""https//design.canada.ca/recommended-templates/consultations-page.html"">Consultation profile page</a>",Template and pattern library,Describes a consultation or engagement activity,"Describes a consultation or engagement activity. Provides the status and outcome of the initiative, background material, data and information about planned or completed events.",Template,Destination,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/contact-information.html"">Contact information</a>",Template and pattern library,Use to present contact information on Canada.ca page,Use to present contact information on Canada.ca page,Design pattern,Institutional,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/contact-us-pages.html"">Contact us page </a>",Template and pattern library,"Provides models for contact options on Canada.ca - use to present contact information for a person, an office, an organization or an emergency","Provides models for contact options on Canada.ca. Use to present contact information for a person, an office, an organization or an emergency.",Template,Institutional,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/feature-tiles.html"">Context-specific features</a>",Template and pattern library,"Use to promote activities, initiatives, programs, and services","Use to promote activities, initiatives, programs, and services",Design pattern,"Promotion, Visual",No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/contributors.html"">Contributors</a>",Template and pattern library,Use to link to institutions or organizations that support the content on the page,Use to link to institutions or organizations that support the content on the page,Design pattern,Institutional,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/tables.html"">Data tables</a>",Template and pattern library,Use to communicate data,Use to communicate data,Design pattern,Visual,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/date-modified.html"">Date modified</a>",Template and pattern library,Indicates how recently the content of a web page has been updated,Indicates how recently the content of a web page has been updated - <strong>Mandatory pattern</strong>,Design pattern,Site-wide pattern,Mandatory,1
data,"<a href=""https//design.canada.ca/mandatory-templates/department-agencies-page.html"">Departments and agencies page</a>",Template and pattern library,Provides links to all federal government institutions,Provides links to all federal government institutions,Template,Government-wide template,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/privacy-disclaimer.html"">Privacy disclaimer</a>",Template and pattern library,Use this component to present privacy disclaimers.,Use this component to present privacy disclaimers.,Design pattern,Interaction,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/download-links.html"">Download links</a>",Template and pattern library,Use to reference and link to non-HTML file,Use to reference and link to non-HTML files,Design pattern,Visual,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/collapsible-content.html"">Expand/Collapse</a>",Template and pattern library,The expand/collapse pattern (also known as accordion) allows content to be hidden until requested.,Use to hide secondary content until requested,Design pattern,Interaction,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/pages-index.html#faceted"">Faceted finder page</a>",Template and pattern library,Use to present a list of 100+ related links that can be filtered - shows the number of results using facets,Use to present a list of 100+ related links that can be filtered using metadata and may require results to be split across multiple pages. Use when there is a need to allow people to build more complex queries against a large number of results. Shows the number of results using facets.,Template,Navigation,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/pages-index.html#finder"">Finder page</a>",Template and pattern library,Use to present a list of 100+ related links that can be filtered,Use to present a list of 100+ related links that can be filtered using metadata and may require results to be split across multiple pages. Use when there is a need to allow people to build simpler queries against large amount of results.,Template,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/global-header.html"">Global header</a>",Template and pattern library,The global (site-wide) header at the top of each web page,The global (site-wide) header at the top of each web page - <strong>Mandatory pattern</strong>,Design pattern,"Site-wide pattern, Interaction",Mandatory,1
data,"<a href=""https//design.canada.ca/common-design-patterns/signature.html"">Government of Canada signature</a>",Template and pattern library,The Government of Canada signature as specified in Federal Identity Program (FIP) policy instruments,The Government of Canada signature as specified in Federal Identity Program (FIP) policy instruments is prominently featured in the global header area across Canada.ca - <strong>Mandatory pattern</strong>,Design pattern,"Site-wide pattern, Visual",Mandatory,1
data,"<a href=""https//design.canada.ca/mandatory-templates/audience-pages.html"">Government-wide audience page</a>",Template and pattern library,Gives access to information and services relevant to a government-wide audience,Gives access to information and services relevant to a government-wide audience - <strong>Mandatory template</strong>,Template,Theme template,Mandatory,1
data,"<a href=""https//design.canada.ca/recommended-templates/guidance-legislation-pages.html"">Guidance on legislation profile page</a>",Template and pattern library,"Gives access to guidance on legislation, details and related materials",Gives access to guidance on legislation. Gives access to details and related materials.,Template,Destination,No,1
data,"<a href=""https//design.canada.ca/mandatory-templates/home-page.html"">Home page</a>",Template and pattern library,Shows the Government of Canada�s most visited and important products and services,Shows the Government of Canada�s most visited and important products and services,Template,"Government-wide template, Navigation",No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/icons.html"">Icons</a>",Template and pattern library,Use as symbols to communicate actions or states,Use as symbols to communicate actions or states,Design pattern,Visual,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/images.html"">Images</a>",Template and pattern library,Use to complement or enhance text,Use to complement or enhance text,Design pattern,Visual,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/in-page-toc.html"">In-page table of contents</a>",Template and pattern library,List of links that lead to subsections of the same page,List of links that lead to subsections of the same page,Design pattern,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/institutional-byline.html"">Institutional byline</a>",Template and pattern library,Use to link to the institution responsible for the content,Use to link to the institution responsible for the content,Design pattern,Institutional,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/institutional-service-performance-reporting-pages.html"">Institutional service performance reporting page</a>",Template and pattern library,"Use to present all service standards from an institution, as per the requirements in the Policy on Service","Use to present all service standards from an institution, as per the requirements in the Policy on Service",Template,Institutional,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/interactive-questions.html"">Interactive questions</a>",Template and pattern library,Use to present a sequence of simple questions that leads to answer needed to continue or complete task,Use to present a sequence of simple questions that leads to answer needed to continue or complete task,Design pattern,"Destination, Navigation",No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/language-toggle.html"">Language toggle link</a>",Template and pattern library,Gives people access to site content in either French or English,Gives people access to site content in either French or English - <strong>Mandatory pattern</strong>,Design pattern,"Site-wide pattern, Interaction",Mandatory,1
data,"<a href=""https//design.canada.ca/common-design-patterns/labels.html"">Labels</a>",Template and pattern library,"Labels are visual indicators that assign a tag to items such as events, products, programs or services","Labels are visual indicators that assign a tag to items such as events, products, programs or services",Design pattern,Visual,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/latest-news.html"">Latest news link</a>",Template and pattern library,Use to feature the most recent news items,Use to feature the most recent news items,Design pattern,Institutional,No,1
data,"<a href=""https//design.canada.ca/styles/layouts.html"">Layouts</a>",Template and pattern library,Layouts for Canada.ca,Layouts for Canada.ca - <strong>Mandatory style</strong>,Style,"Site-wide pattern, Visual",Mandatory,1
data,"<a href=""https//design.canada.ca/recommended-templates/pages-index.html#long"">Long index page</a>",Template and pattern library,Use to present a list of 50+ related links without descriptions,Use to present a list of 50+ related links without descriptions,Template,Navigation,No,1
data,"<a href=""https//design.canada.ca/mandatory-templates/ministerial-profile-pages.html"">Ministerial profile page</a>",Template and pattern library,"Gives an overview of the biography and links to the minister�s recent activities and announcements, and social media channels","Gives an overview of the biography and links to the minister�s recent activities and announcements, and social media channels  - <strong>Mandatory template</strong>",Template,Institutional,Mandatory,1
data,"<a href=""https//design.canada.ca/common-design-patterns/more-information.html"">More information for</a>",Template and pattern library,Use to connect to a related government-wide audience,Use to connect to a related government-wide audience,Design pattern,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/most-requested.html"">Most requested</a>",Template and pattern library,Use to feature top tasks related to the page it is on,Use to feature top tasks related to the page it is on,Design pattern,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/multimedia.html"">Multimedia (video and audio)</a>",Template and pattern library,Use to complement or enhance text,Use to complement or enhance text,Design pattern,Visual,No,1
data,"<a href=""https//design.canada.ca/mandatory-templates/news-pages.html#landing"">News landing page</a>",Template and pattern library,Gives access to Government of Canada�s news products,Gives access to Government of Canada�s news products,Template,Government-wide template,No,1
data,"<a href=""https//design.canada.ca/mandatory-templates/news-pages.html#product"">News product page</a>",Template and pattern library,Allows people to read a news product,Allows people to read a news product - <strong>Mandatory template</strong>,Template,Institutional,Mandatory,1
data,"<a href=""https//design.canada.ca/mandatory-templates/news-pages.html#results"">News results page</a>",Template and pattern library,Enables people to efficiently find a specific news product by quickly filtering results based on keywords and pre-set metadata fields,Enables people to efficiently find a specific news product by quickly filtering results based on keywords and pre-set metadata fields,Template,Government-wide template,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/ordered-multipage.html"">Ordered multi-page navigation</a>",Template and pattern library,Set of links to a group of several pages intended to be read in a preferred order,Set of links to a group of several pages intended to be read in a preferred order,Design pattern,Navigation,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/partnering-collaborative-arrangement-profile-pages.html"">Partnering and collaborative arrangement profile page</a>",Template and pattern library,Gives an overview of the mandate and information and services of partnering or collaborative arrangement agreements,Gives an overview of the mandate and information and services of partnering or&nbsp;collaborative arrangement agreements,Template,Institutional,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/program-description-pages.html"">Program description page</a>",Template and pattern library,Offers details about a program and gives access to services related to the program - use to give background information about a program,Offers details about a program. Gives access to services related to the program. Use to give background information about a program. Don�t use to start a task.,Template,Institutional,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/promotional-events-pages.html"">Promotional events page</a>",Template and pattern library,"Describes an official government event that occurs in a promotional context, gives information such as date, time, location and target audience","Describes an official government event that occurs in a promotional context. Gives information such as date, time, location and target audience.",Template,Promotion,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/laws-regulations-pages.html#regulation-profile"">Regulation profile page</a>",Template and pattern library,"Gives a 1 or 2 sentence description of the regulation, allows people to read the regulation, and relates a regulation to topics, institutions, ministers and other legislation.","Gives a 1 or 2 sentence description of the regulation, allows people to read the regulation, and relates a regulation to topics, institutions, ministers and other legislation.",Template,Destination,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/related-links.html"">Related links</a>",Template and pattern library,A list of links to content that is related to the page,The related links pattern is a list of links to content that is related to the page on which it appears,Design pattern,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/report-problem.html"">Report a problem</a>",Template and pattern library,Allows people to provide feedback via a form for any problems that may have happened,Allows people to provide feedback via a form for any problems that may have happened,Design pattern,"Site-wide pattern, Interaction",No,1
data,"<a href=""https//design.canada.ca/mandatory-templates/search-page.html"">Search page</a>",Template and pattern library,Provides the template for the search engine on Canada.ca,Provides the template for the search engine on Canada.ca,Template,Government-wide template,No,1
data,"<a href=""https//design.canada.ca/recommended-templates/service-initiation-pages.html"">Service initiation page</a>",Template and pattern library,"Gives people the information they need before starting the task, such as explaining eligibility criteria or steps to follow","Gives people the information they need before starting the task, such as explaining eligibility criteria or steps to follow. Gives people easy access to service standards, turnaround times, related services, guides and help.",Template,"Destination, Navigation",No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/services-information.html"">Services and information</a>",Template and pattern library,Use to present sets of links with accompanying descriptions,Use to present sets of links with accompanying descriptions,Design pattern,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/share-page.html"">Share this page</a>",Template and pattern library,Allows people to share the content of the page to other users,Allows people to share the content of the page to other users,Design pattern,"Site-wide pattern, Interaction",No,1
data,"<a href=""https//design.canada.ca/recommended-templates/pages-index.html#short"">Short index page</a>",Template and pattern library,Use to present a list of 10 to 50 related links without text descriptions,Use to present a list of 10 to 50 related links without text descriptions,Template,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/site-footer.html"">Global footer</a>",Template and pattern library,"The site-wide footer at the bottom of each web page, includes the contextual band, the main band and the sub-footer band","The site-wide footer at the bottom of each web page, includes the contextual band, the main band and the sub-footer band - <strong>Mandatory pattern</strong>",Design pattern,"Site-wide pattern, Interaction",Mandatory,1
data,"<a href=""https//design.canada.ca/common-design-patterns/search-box.html"">Site search box</a>",Template and pattern library,Gives the ability to search all content from the Government of Canada,Gives the ability to search all content from the Governement of Canada - <strong>Mandatory pattern</strong>,Design pattern,"Site-wide pattern, Interaction",Mandatory,1
data,"<a href=""https//design.canada.ca/common-design-patterns/social-media-channels.html"">Social media channels block (follow box)</a>",Template and pattern library,Use to allow people to follow official Government of Canada social media accounts from various social media platforms,Use to allow people to follow official Government of Canada social media accounts from various social media platforms,Design pattern,Institutional,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/social-media-feeds.html"">Social media feeds widget</a>",Template and pattern library,Use to embed the latest posts from official Government of Canada social media accounts,Use to embed the latest posts from official Government of Canada social media accounts,Design pattern,"Institutional, Visual",No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/tabbed-interface.html"">Tabbed interface</a>",Template and pattern library,Separates related content into different panes that are viewable one at a time,Separates related content into different panes that are viewable one at a time,Design pattern,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/subway-navigation.html"">Subway navigation</a>",Template and pattern library,Break up long and complex content into sections that each focus on a step or specific answer people need before moving to the next step or section.,Break up long and complex content into sections that each focus on a step or specific answer people need before moving to the next step or section.,Design pattern,Navigation,No,1
data,"<a href=""https//design.canada.ca/common-design-patterns/site-menu.html"">Theme and topic menu</a>",Template and pattern library,Use on all Canada.ca web page as the main theme-based navigation,Use on all Canada.ca web page as the main theme-based navigation - <strong>Mandatory pattern</strong>,Design pattern,Site-wide pattern,Mandatory,1
data,"<a href=""https//design.canada.ca/recommended-templates/transparency.html"">Transparency and corporate reporting</a>",Template and pattern library,A corporate reporting page provides proactive disclosure of information offered by that institution.,A corporate reporting page provides proactive disclosure of information offered by that institution.,Template,Institutional,No,1
data,"<a href=""https//design.canada.ca/styles/typography.html"">Typography</a>",Template and pattern library,Typography and fonts for Canada.ca,Typography for Canada.ca - <strong>Mandatory style</strong>,Style,"Site-wide pattern, Visual",Mandatory,1
data,"<a href=""https//design.canada.ca/common-design-patterns/what-we-are-doing.html"">What we are doing</a>",Template and pattern library,Use to link to content that provides background or explanations of GC activities in support of creating or improving public policy,Use to link to content that provides background or explanations of GC activities in support of creating or improving public policy,Design pattern,Institutional,No,1
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#toc5"">Writing principles for web content</a>",Content Style Guide,Writing principles that reflect how people read and use web content,Writing principles that reflect how people read and use web content,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#toc6"">Plain language</a>",Content Style Guide,Use plain language to makes information readable and understandable for everyone.,Use plain language to makes information readable and understandable for everyone.,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#toc7"">Writing tone</a>",Content Style Guide,Guidelines on the right tone to use when designing content for Canada.ca,Guidelines on the right tone to use when designing content for Canada.ca,,,,0
