need,sector,size,region,slide_label,program_name,name_fr,fr_source,org,url_en,url_fr,status,note
workforce,sector-agnostic,,national,[replacement for Rapid Response],Worker Retention Grant,Subvention pour le maintien à l’emploi des travailleurs,canada.ca h1,ESDC,https://www.canada.ca/en/employment-social-development/services/funding/worker-retention-grant.html,https://www.canada.ca/fr/emploi-developpement-social/services/financement/subvention-maintien-travailleurs.html,verified,Employer-facing. Requires an approved Work-Sharing agreement (see slide 4).
workforce,sector-agnostic,,national,[replacement for Rapid Response],Workforce Tariff Response - EI-funded LMDAs,Réponse tarifaire pour la main-d’œuvre,canada.ca h1,ESDC,https://www.canada.ca/en/employment-social-development/programs/training-agreements/workforce-tariff-response.html,https://www.canada.ca/fr/emploi-developpement-social/programmes/accords-formation/reponse-tarifaire-main-doeuvre.html,verified,Training/retraining side. This is what the Finance hub uses for the skills route.
workforce,sector-agnostic,,national,,Work-Sharing Program,Programme de Travail partagé,canada.ca h1,ESDC,https://www.canada.ca/en/employment-social-development/services/work-sharing.html,https://www.canada.ca/fr/emploi-developpement-social/services/travail-partage.html,added,On slide 4; include for the workforce column.
workforce,sector-agnostic,,national,,Student Work Placement Program,Programme de stages pratiques pour étudiants,canada.ca h1,ESDC,https://www.canada.ca/en/employment-social-development/services/student-work-placements-wage-subsidies.html,https://www.canada.ca/fr/emploi-developpement-social/services/stages-pratiques-etudiants-subventions-salariales.html,added,On slide 4.
all,sector-agnostic,,national,Business Benefits Finder @ ISED,Business Benefits Finder,Outil de recherche d'aide aux entreprises,composed: page has no h1; name taken from the Finance FR hub that links to it,ISED,https://innovation.ised-isde.canada.ca/innovation/s/?language=en_CA,https://innovation.ised-isde.canada.ca/innovation/s/?language=fr_CA,verified,Two live variants: ISED's own page uses innovation.ised-isde.canada.ca/s/?language=en_CA (no /innovation/). Pick one for the repo.
all,sector-agnostic,,national,,Supports for business (hub),Soutien aux entreprises,canada.ca h1,ISED,https://ised-isde.canada.ca/site/ised/en/supports-for-business,https://ised-isde.canada.ca/site/isde/fr/soutien-aux-entreprises,added,Broader hub than Business Benefits Finder alone.
liquidity;transformation,sector-agnostic,1to5m;5mplus;large;nonprofit,Atlantic,RDA Regional Tariff Response Initiative,Regional Tariff Response Initiative - Atlantic,Initiative régionale de réponse tarifaire au Canada atlantique,canada.ca h1,ACOA / APECA,https://www.canada.ca/en/atlantic-canada-opportunities/services/regional-tariff-response-initiative.html,https://www.canada.ca/fr/promotion-economique-canada-atlantique/services/initiative-regionale-de-reponse-tarifaire.html,verified,"Q2 region routing target. ACOA eligibility: SME must have been viable prior to tariffs and have annual revenue of at least $1M (size excludes under-1m); AND show 25%+ of sales to the U.S. and/or China, OR demonstrate the applicant (or businesses it supports) has been directly or indirectly affected by trade disruptions including US/China tariffs or Canadian counter-tariffs. The second clause is not gated here - every user of this tool is by definition tariff-affected, so its OR-branch is satisfied for everyone reaching this page."
liquidity;transformation,sector-agnostic,,Quebec,RDA Regional Tariff Response Initiative,Regional Tariff Response Initiative - Quebec,Initiative régionale de réponse tarifaire – Québec,composed: page h1 omits the region,CED / DEC,https://www.canada.ca/en/economic-development-quebec-regions/financing-services/regional-tariff-response-initiative.html,https://www.canada.ca/fr/developpement-economique-regions-quebec/financement-services/initiative-regionale-de-reponse-tarifaire.html,verified,"Q2 region routing target. CED eligibility: $2M+ revenue in the last completed fiscal year, AND a manufacturing SME with fewer than 500 employees. NOT gated - none of the three tests fits a Q3 answer. The $2M floor falls inside the '$1 million to $5 million' bucket, so no size answer can express it; '<500 employees' is a ceiling where every gate so far has been a floor; 'manufacturing' is a Q4 answer with no sector routing. Differs from ACOA's $1M floor - regional thresholds are NOT uniform."
liquidity;transformation,sector-agnostic,1to5m;5mplus;large;nonprofit,Southern Ontario,RDA Regional Tariff Response Initiative,Regional Tariff Response Initiative - Southern Ontario,Initiative régionale de réponse tarifaire dans le Sud de l’Ontario,canada.ca h1,FedDev Ontario,https://feddev-ontario.canada.ca/en/funding-southern-ontario/regional-tariff-response-initiative-southern-ontario,https://feddev-ontario.canada.ca/fr/financement-pour-sud-lontario/initiative-regionale-reponse-tarifaire-dans-sud-lontario,verified,"Q2 region routing target. FedDev eligibility: annual revenue of at least $1M - same floor as ACOA, so gated the same way (everyone except under-1m). nonprofit is in the gate because RTRI's revenue floor is an SME criterion and non-profits are a separate eligible population - see the national hub row's note for the full reasoning, which covers all eight RTRI rows. FedDev's own page was read only for the revenue line and gives no subject."
liquidity;transformation,sector-agnostic,1to5m;5mplus;large;nonprofit,Northern Ontario,RDA Regional Tariff Response Initiative,Regional Tariff Response Initiative - Northern Ontario,Initiative régionale de réponse tarifaire – Nord de l'Ontario,composed: page h1 omits the region,FedNor,https://fednor.canada.ca/en/our-programs/regional-tariff-response-initiative,https://fednor.canada.ca/fr/nos-programmes/initiative-regionale-reponse-tarifaire,verified,"Q2 region routing target. FedNor eligibility: SMEs must have been viable prior to the imposition of tariffs AND have annual revenue of at least $1M - same as ACOA, gated the same way. WHERE TO LOOK: FedNor states this in an ALERT BANNER at the top of the page, not in the eligibility list further down, which is why a first read of this page suggested it had no floor at all. Check the banner before concluding any RDA page omits a criterion. 'Viable prior to tariffs' is not gated, same as ACOA - no wizard answer fits it."
liquidity;transformation,sector-agnostic,1to5m;5mplus;large;nonprofit,Prairies,RDA Regional Tariff Response Initiative,Regional Tariff Response Initiative - Prairies,Initiative régionale de réponse tarifaire (IRRT) pour la région des Prairies,canada.ca h1,PrairiesCan,https://www.canada.ca/en/prairies-economic-development/services/funding/regional-tariff-response-initiative.html,https://www.canada.ca/fr/developpement-economique-prairies/services/financement/initiative-regionale-reponse-tarifaire.html,verified,"Q2 region routing target. PrairiesCan eligibility: annual revenue of at least $1M - same floor as ACOA and FedDev, gated identically. Same nonprofit assumption as the FedDev row: kept to match, page checked only for the revenue line."
liquidity;transformation,sector-agnostic,1to5m;5mplus;large;nonprofit,British Columbia,RDA Regional Tariff Response Initiative,Regional Tariff Response Initiative - British Columbia,Initiative régionale de réponse tarifaire en Colombie-Britannique,canada.ca h1,PacifiCan,https://www.canada.ca/en/pacific-economic-development/services/funding/regional-tariff-response-initiative.html,https://www.canada.ca/fr/developpement-economique-pacifique/services/financement/initiative-regionale-reponse-tarifaire.html,verified,"Q2 region routing target. PacifiCan eligibility: annual revenue of at least $1M - same floor as ACOA, FedDev and PrairiesCan, gated identically. Same nonprofit assumption as those rows: kept to match, page checked only for the revenue line."
liquidity;transformation,sector-agnostic,1to5m;5mplus;large;nonprofit,North,RDA Regional Tariff Response Initiative,Regional Tariff Response Initiative - North,Initiative régionale de réponse tarifaire – Nord,composed: page h1 omits the region,CanNor,https://www.cannor.gc.ca/eng/1756477507494/1756477573095,https://www.cannor.gc.ca/fra/1756477507494/1756477573095,verified,"Q2 region routing target. CanNor eligibility: annual revenue of at least $1M - same floor as ACOA, FedDev, PrairiesCan and PacifiCan, gated identically. Same nonprofit assumption as those rows."
financing,forestry-and-lumber,,national,No specific stream,(route to sector-agnostic),,,,,,route,
liquidity,forestry-and-lumber,,national,BDC Forestry Liquidity,Forestry Support Program - Cash Flow Support stream,Programme de soutien à la foresterie – volet soutien aux liquidités,composed: stream of a parent page,BDC,https://www.bdc.ca/en/solutions/forestry-support-program,https://www.bdc.ca/fr/solutions/programme-soutien-foresterie,duplicate-url,"Stream of the Forestry Support Program, no own URL. Up to $25M. Ends 2026-12-31."
liquidity,forestry-and-lumber,1to5m;5mplus;large;nonprofit,national,BDC Softwood Lumber Guarantee,Softwood Lumber Guarantee Program,Programme de garantie du bois d’œuvre résineux,canada.ca h1,BDC,https://www.bdc.ca/en/financing/softwood-lumber-guarantee-program,https://www.bdc.ca/fr/financement/programme-garantie-bois-d-oeuvre-resineux,verified,"Applicant contacts their own bank, not BDC. Ends 2026-12-31. BDC eligibility: Canadian business, softwood lumber mills and remanufacturing mills, minimum annual revenue $1M (GATED - excludes under-1m), $500K-$50M per eligible borrower group. The $500K minimum loan is a second de facto floor well above what an under-1m business could carry, so the size gate understates rather than overstates the restriction. NOT CHECKED: the Forestry Support Program - Cash Flow Support row above is the only other program in this cell and is what under-1m forestry businesses now see alone; every other BDC program checked so far carries a $1M floor, so it likely does too - verify before assuming that cell is safe."
transformation,forestry-and-lumber,,national,BDC Forestry Transformation,Forestry Support Program - Transformation Support stream,Programme de soutien à la foresterie,canada.ca h1,BDC,https://www.bdc.ca/en/solutions/forestry-support-program,https://www.bdc.ca/fr/solutions/programme-soutien-foresterie,disputed,"Same URL as forestry liquidity. NRCan's official forest hub routes forestry TRANSFORMATION to NRCan programs (IFIT/FIP/GCWood), not BDC. Resolve with the forestry lead."
transformation,forestry-and-lumber,,national,,Investments in Forest Industry Transformation (IFIT),Investissements dans la transformation de l’industrie forestière (ITIF),canada.ca h1,NRCan,https://natural-resources.canada.ca/forests-forestry/forest-programs/investments-forest-industry-transformation-ifit,https://ressources-naturelles.canada.ca/forets-foresterie/programmes-forestier/investissements-dans-transformation-industrie-forestiere-itif,added,What NRCan actually routes forestry transformation to.
transformation,forestry-and-lumber,,national,,Forest Innovation Program,Programme d'innovation forestière,canada.ca h1,NRCan,https://natural-resources.canada.ca/forests-forestry/forest-programs/forest-innovation-program,https://ressources-naturelles.canada.ca/forets-foresterie/programmes-forestier/programme-innovation-forestiere,added,
transformation,forestry-and-lumber,,national,,Green Construction through Wood (GCWood),Programme de construction verte en bois (CVBois),canada.ca h1,NRCan,https://natural-resources.canada.ca/funding-partnerships/green-construction-through-wood-gcwood-program,https://ressources-naturelles.canada.ca/financement-partenariats/programme-construction-verte-bois-cvbois,added,
transformation,forestry-and-lumber,,national,,Global Forest Leadership Program,Programme de leadership mondial sur les forêts,canada.ca h1,NRCan,https://natural-resources.canada.ca/forests-forestry/forest-programs/global-forest-leadership-program,https://ressources-naturelles.canada.ca/forets-foresterie/programmes-forestier/programme-leadership-mondial-forets,added,
all,forestry-and-lumber,,national,,Support for forest sector employers and workers (hub),Soutien fédéral aux entreprises et aux travailleurs du secteur forestier,canada.ca h1,NRCan,https://natural-resources.canada.ca/forest-forestry/forest-industry-trade/support-forest-sector-employers-workers,https://ressources-naturelles.canada.ca/forets-foresterie/industrie-commerce-forestiere/soutien-federal-entreprises-travailleurs-secteur-forestier,added,Upstream source of truth for the forestry row.
workforce,forestry-and-lumber,,national,No specific stream,(route to sector-agnostic),,,,,,route,
financing,steel-and-aluminum,,national,No specific stream,(route to sector-agnostic),,,,,,route,
liquidity,steel-and-aluminum,1to5m;5mplus;large;nonprofit,national,BDC Steel and Aluminium,Steel and Aluminium Industries Support Program,Programme de soutien aux industries de l’acier et de l’aluminium,canada.ca h1,BDC,https://www.bdc.ca/en/solutions/steel-aluminium-support-program,https://www.bdc.ca/fr/solutions/programme-soutien-acier-aluminium,verified,"$250K-$50M working capital. Program also covers COPPER - the Q4 sector filter should include it, slide 5 omits it."
transformation,steel-and-aluminum,,national,No specific stream,(route to sector-agnostic),,,,,,route,
workforce,steel-and-aluminum,,national,No specific stream,(route to sector-agnostic),,,,,,route,
all,steel-and-aluminum,,national,,Support for the Canadian steel sector,Soutien au secteur canadien de l’acier,canada.ca h1,Finance Canada,https://www.canada.ca/en/department-finance/news/2025/07/support-for-the-canadian-steel-sector.html,https://www.canada.ca/fr/ministere-finances/nouvelles/2025/07/soutien-au-secteur-canadien-de-lacier.html,weak,"News release, not a program hub. No steel equivalent of the NRCan forest hub exists."
financing,agriculture,,national,Canadian Agricultural Loans Act,Canadian Agricultural Loans Act (CALA) Program,Programme de la Loi canadienne sur les prêts agricoles,canada.ca h1,AAFC,https://agriculture.canada.ca/en/programs/canadian-agricultural-loans-act,https://agriculture.canada.ca/fr/programmes/loi-canadienne-prets-agricoles,verified,"95% loan guarantee. $500K/farm, $3M/co-op."
financing,agriculture,,national,FCC - term loan support,Agriculture financing,Financement agricole,composed: FAC's French page still carries an English title,FCC / FAC,https://www.fcc-fac.ca/en/financing/agriculture,https://www.fcc-fac.ca/fr/financement/agriculture,best-guess,No FCC product called 'term loan support'. This is the general ag financing landing page. FR page currently renders an English title.
liquidity,agriculture,,national,AAFC Advance Payments Program,Advance Payments Program (APP),Programme de paiements anticipés,canada.ca h1,AAFC,https://agriculture.canada.ca/en/programs/advance-payments,https://agriculture.canada.ca/fr/programmes/paiements-anticipes,verified,"Slug is 'advance-payments', not 'advance-payments-program'. NOT CHECKED for organization type: AgriStability and AgriInvest were confirmed farmers-only and now exclude nonprofit, and APP is an advance against a producer's own crop or livestock, so it is very likely farmers-only too - but that was inferred, not read off the page. FCC's row below has since been confirmed to have no size criteria, leaving this the last agriculture liquidity row whose eligibility has not been read off its own page. What the main page does say: a federal loan guarantee giving 'agricultural producers' cash advances up to $1M a year on up to 50% of the anticipated market value of their product, interest-free on the first $250K (500K for canola) for 2025-26, repaid as the product sells. CAUTION for whoever finishes this: the page says advances are available THROUGH participating producer organizations - an association's role in APP is delivering the program, not receiving the advance, so 'associations are involved' is not evidence they are eligible applicants. The program's own eligibility page was not reachable at the obvious URL; find it from the main page rather than guessing a slug."
liquidity,agriculture,,national,FCC Trade Disruption Program =,Trade Disruption Customer Support Program,Programme de soutien à la clientèle en cas de perturbations commerciales,canada.ca h1,FCC / FAC,https://www.fcc-fac.ca/en/financing/trade-disruption-customer-support-program,https://www.fcc-fac.ca/fr/financement/programme-soutien-clientele-cas-perturbations-commerciales,verified,"Correct name is 'Trade Disruption Customer Support Program'. Slide also has a stray '=' character. No size criteria - checked, so the blank size column is verified and this row shows at every size answer. That is a statement about revenue thresholds only; whether an association rather than a farm or agri-food business can borrow from FCC was not separately established, and is left alone deliberately - FCC adjudicates at application, and this tool's posture everywhere else is not to gate what it cannot express."
liquidity,agriculture,under-1m;1to5m;5mplus;large,national,AgriStability,AgriStability,Agri-stabilité,canada.ca h1,AAFC,https://agriculture.canada.ca/en/programs/agristability,https://agriculture.canada.ca/fr/programmes/agri-stabilite,verified,"EN slug has no hyphen; FR does. Do not pattern-match. Farmers only - NOT associations or non-profits, so size excludes nonprofit while covering every business size. This is an organization-type restriction expressed through the size column, the same way AgriMarketing's SME row does it; it is not a revenue threshold. Contrast the Price Pooling row below, which IS open to associations and must stay blank."
liquidity,agriculture,under-1m;1to5m;5mplus;large,national,AgriInvest and Price Pooling,AgriInvest,Agri-investissement,canada.ca h1,AAFC,https://agriculture.canada.ca/en/programs/agriinvest,https://agriculture.canada.ca/fr/programmes/agri-investissement,verified,"Slide bundles two unrelated programs in one box - split into two rows. Farmers only - NOT associations or non-profits, so size excludes nonprofit while covering every business size. Same reasoning as the AgriStability row above. Note the slide's other half, Price Pooling, goes the OTHER way (associations eligible, size stays blank) - the bundling was misleading in both directions."
liquidity,agriculture,,national,AgriInvest and Price Pooling,Price Pooling Program,Programme de mise en commun des prix,canada.ca h1,AAFC,https://agriculture.canada.ca/en/programs/price-pooling,https://agriculture.canada.ca/fr/programmes/mise-commun-prix,verified,"Second half of the bundled slide box. Blank size is VERIFIED, and specifically must keep covering the nonprofit answer: eligibility is a marketing agency or a group of producers marketing under an official cooperative plan - an association of producers, a processor representing a processing company, or a person authorized by either. Associations AND businesses both qualify, so this is NOT the AgriMarketing NIA case ('associations only', size=nonprofit) and must not be gated to match it. The real test is organizational, not size: whether you market under an official cooperative plan and pool revenues so producers get equal returns for like grade and variety. No Q3 answer expresses that, so blank over-shows this to ordinary farm businesses outside a cooperative plan - a criteria-text candidate, not a size gate."
transformation,agriculture,under-1m;1to5m;5mplus;large,national,AAFC AgriMarketing Market Diversification,AgriMarketing Program: Market Diversification for SMEs,Programme Agri-marketing : Diversification des marchés pour les petites et moyennes entreprises,canada.ca h1,AAFC,https://agriculture.canada.ca/en/programs/agrimarketing-market-diversification-small-medium-enterprises,https://agriculture.canada.ca/fr/programmes/agri-marketing-diversification-marches-petites-moyennes-enterprises,verified,FR slug contains AAFC's own typo 'enterprises' - copy verbatim. size excludes nonprofit; NIA stream below is that row's counterpart.
transformation,agriculture,nonprofit,national,,AgriMarketing Program: Market Diversification for National Industry Associations,Programme Agri-marketing : Diversification des marchés pour les associations nationales de l’industrie,canada.ca h1,AAFC,https://agriculture.canada.ca/en/programs/agrimarketing-market-diversification-national-industry-associations,https://agriculture.canada.ca/fr/programmes/agri-marketing-diversification-marches-associations-nationales-industrie,added,"$75M over 5 yrs; intake 2026-02-13 to 2030-09-30. size=nonprofit gates this to the non-profit/association/board-of-trade answer, matching 'Associations only, not individual businesses.'"
transformation,agriculture,,national,AAFC Agricultural Trade Commissioner Service,Trade Commissioner Service (agri-food),Service des délégués commerciaux,canada.ca h1,AAFC,https://agriculture.canada.ca/en/international-trade/services-agri-food-exporters/trade-commissioner-service,https://agriculture.canada.ca/fr/commerce-international/services-exportateurs-agroalimentaires/service-delegues-commerciaux,verified,AAFC's page about GAC's TCS - overlaps the sector-agnostic TCS row. Dedupe in the results view.
transformation,agriculture,,national,AAFC Canada Brand and the agri-food single window,Canada Brand,Marque Canada,confirmed; brand site was down when checked,AAFC,https://marque-canada-brand.agriculture.canada.ca/en-CA/home-accueil/,https://marque-canada-brand.agriculture.canada.ca/fr-CA/home-accueil/,verified,"Separate subdomain, not agriculture.canada.ca. Slide bundles this with the single window - split into two rows."
transformation,agriculture,,national,AAFC Canada Brand and the agri-food single window,Single window contact for agri-food trade services,Guichet unique pour communiquer avec le Service d'exportation agroalimentaire,canada.ca h1,AAFC,https://agriculture.canada.ca/en/international-trade/services-agri-food-exporters/single-window-contact-agri-food-trade-services,https://agriculture.canada.ca/fr/commerce-international/services-exportateurs-agroalimentaires/guichet-unique-communiquer-service-dexportation-agroalimentaire,verified,Second half of the bundled slide box.
workforce,agriculture,,national,No specific stream,(route to sector-agnostic),,,,,,route,
all,agriculture,,national,Additional resources at AgPal,AgPal / AgriGuichet,AgriGuichet,canada.ca h1,AAFC (third-party hosted),https://agpal.ca/,https://agpal.ca/fr/accueil.html,verified,Not a canada.ca property.
all,agriculture,,national,,Support measures for industries affected by trade disruptions (hub),Mesures de soutien pour les industries touchées par les perturbations commerciales,canada.ca h1,AAFC,https://agriculture.canada.ca/en/international-trade/services-agri-food-exporters/support-industries,https://agriculture.canada.ca/fr/commerce-international/services-aux-exportateurs-agroalimentaires/mesures-soutien-industries-touchees-perturbations-commerciales,added,Upstream source of truth for the agriculture row. NOTE: this FR page's EN language-toggle targets 404 - report to AAFC.
liquidity,sector-agnostic,,national,,Duties Relief Program,Programme d’exonération des droits,canada.ca h1,CBSA,https://www.cbsa-asfc.gc.ca/import/ddr-red/relief-report-eng.html,https://www.cbsa-asfc.gc.ca/import/ddr-red/relief-report-fra.html,added,Genuine liquidity lever the Finance hub lists and slide 5 omits.
liquidity,sector-agnostic,,national,,Duty Drawback Program,Programme de drawback,canada.ca h1,CBSA,https://www.cbsa-asfc.gc.ca/import/ddr-red/drawback-eng.html,https://www.cbsa-asfc.gc.ca/import/ddr-red/drawback-fra.html,added,As above.
liquidity,sector-agnostic,,national,,Process for requesting remission of tariffs,Processus de demande de remise des droits de douane,canada.ca h1,Finance Canada,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/process-requesting-remission-tariffs-that-apply-on-certain-goods-us.html,https://www.canada.ca/fr/ministere-finances/programmes/politiques-finances-echanges-internationaux/processus-demande-remise-droits-douane-applicables-certains-biens-provenant-etats-unis.html,added,As above.
all,sector-agnostic,,national,,Support for Canadian workers and employers,Soutien aux employeurs et aux travailleurs canadiens en réponse aux droits de douane,canada.ca h1,Finance Canada,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/support-canadian-workers-employers.html,https://www.canada.ca/fr/ministere-finances/programmes/politiques-finances-echanges-internationaux/reponse-canada-droits-douane-americains/soutien-employeurs-et-travailleurs-canadiens.html,added,"Canonical GC hub. Source this rather than maintaining the list separately, or it drifts."
